DR_NO,Date Rptd,DATE OCC,TIME OCC,AREA,AREA NAME,Rpt Dist No,Part 1-2,Crm Cd,Crm Cd Desc,Mocodes,Vict Age,Vict Sex,Vict Descent,Premis Cd,Premis Desc,Status,Status Desc,Crm Cd 1,LOCATION,LAT,LON
202017372,11/19/2020 12:00:00 AM,11/19/2020 12:00:00 AM,1920,20,Olympic,2041,1,210,ROBBERY,1822 0340 1300 0334 0432 0337 0355 0344 0420 0326,27,F,K,102.0,SIDEWALK,IC,Invest Cont,210.0,1000    3RD                          AV,34.0509,-118.3184
201209940,03/29/2020 12:00:00 AM,03/29/2020 12:00:00 AM,125,12,77th Street,1208,2,626,INTIMATE PARTNER - SIMPLE ASSAULT,0913 0400 0416 1814 2000,44,F,H,501.0,SINGLE FAMILY DWELLING,AO,Adult Other,626.0,500 W  47TH                         ST,34.0007,-118.2827
200918037,12/04/2020 12:00:00 AM,12/03/2020 12:00:00 AM,2325,9,Van Nuys,966,2,740,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)",0325 0444,0,X,X,403.0,DRUG STORE,IC,Invest Cont,740.0,13300    RIVERSIDE                    DR,34.1576,-118.4231
230415671,12/23/2023 12:00:00 AM,12/23/2023 12:00:00 AM,1718,4,Hollenbeck,465,2,740,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)",0329,41,M,H,123.0,PARKING UNDERGROUND/BUILDING,AO,Adult Other,740.0,500 S  GRANDE VISTA                 AV,34.0339,-118.2013
240704321,01/09/2024 12:00:00 AM,01/09/2024 12:00:00 AM,215,7,Wilshire,773,2,624,BATTERY - SIMPLE ASSAULT,0416 0562 0913,48,F,H,502.0,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",IC,Invest Cont,624.0,1700    HAUSER                       BL,34.044,-118.3586
211915022,10/31/2021 12:00:00 AM,10/31/2021 12:00:00 AM,1400,19,Mission,1988,2,626,INTIMATE PARTNER - SIMPLE ASSAULT,2000 1813 0408 0444,28,F,H,501.0,SINGLE FAMILY DWELLING,AO,Adult Other,626.0,13500    RELIANCE                     ST,34.2267,-118.4268
222010356,05/25/2022 12:00:00 AM,05/25/2022 12:00:00 AM,2030,20,Olympic,2039,1,230,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",0334 0319 0432 0445 0554 0913 0602 1251,17,F,H,502.0,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",IC,Invest Cont,230.0,2700 W  8TH                          ST,34.0598,-118.2865
231218363,08/25/2023 12:00:00 AM,07/12/2023 12:00:00 AM,2300,12,77th Street,1256,2,813,CHILD ANNOYING (17YRS & UNDER),1251 0913 1259,15,F,B,501.0,SINGLE FAMILY DWELLING,IC,Invest Cont,813.0,500 W  75TH                         ST,33.9717,-118.2827
240214862,09/16/2024 12:00:00 AM,09/16/2024 12:00:00 AM,900,2,Rampart,246,2,888,TRESPASSING,1501 1822 0910,23,X,X,904.0,MTA - RED LINE - WESTLAKE/MACARTHUR PARK,IC,Invest Cont,888.0,600 S  ALVARADO                     ST,34.0595,-118.2749
220508078,04/16/2022 12:00:00 AM,04/16/2022 12:00:00 AM,1330,5,Harbor,519,1,761,BRANDISH WEAPON,0334 1218 1300 1822 0919 0447,33,M,B,108.0,PARKING LOT,AO,Adult Other,761.0,WATSON                       AV,33.7917,-118.2482
232106220,03/01/2023 12:00:00 AM,02/22/2023 12:00:00 AM,1300,21,Topanga,2161,2,624,BATTERY - SIMPLE ASSAULT,0416 1280 2024,67,F,W,501.0,SINGLE FAMILY DWELLING,JO,Juv Other,624.0,24300    CARIS                        ST,34.1803,-118.6548
240107542,02/20/2024 12:00:00 AM,02/14/2024 12:00:00 AM,1545,1,Central,161,2,662,"BUNCO, GRAND THEFT",0344 0104 0800 0701,0,F,H,203.0,OTHER BUSINESS,IC,Invest Cont,662.0,700 S  FIGUEROA                     ST,34.0483,-118.2631
211007584,05/01/2021 12:00:00 AM,04/30/2021 12:00:00 AM,2200,10,West Valley,1034,2,740,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)",1307 1300 1414 0329 1822,58,M,A,122.0,"VEHICLE, PASSENGER/TRUCK",IC,Invest Cont,740.0,6300    LINDLEY                      AV,34.1839,-118.5273
201417476,09/19/2020 12:00:00 AM,09/19/2020 12:00:00 AM,2325,14,Pacific,1441,1,230,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",0430 1100 0342 0302 0449 1309 0326 1822,29,M,H,103.0,ALLEY,IC,Invest Cont,230.0,00    26TH                         PL,33.9818,-118.4682
230805862,02/14/2023 12:00:00 AM,11/28/2022 12:00:00 AM,5,8,West LA,807,2,661,UNAUTHORIZED COMPUTER ACCESS,1822,35,M,W,501.0,SINGLE FAMILY DWELLING,IC,Invest Cont,661.0,2300    BEVERLY GLEN                 PL,34.1113,-118.4472
221018197,12/28/2022 12:00:00 AM,12/28/2022 12:00:00 AM,1900,10,West Valley,1061,1,210,ROBBERY,0302 0337 1822,25,M,H,252.0,"COFFEE SHOP (STARBUCKS, COFFEE BEAN, PEET'S, ETC.)",IC,Invest Cont,210.0,19400    VENTURA                      BL,34.1727,-118.5557
221208122,02/18/2022 12:00:00 AM,02/17/2022 12:00:00 AM,1430,12,77th Street,1259,2,354,THEFT OF IDENTITY,0100 0930,49,F,B,501.0,SINGLE FAMILY DWELLING,IC,Invest Cont,354.0,700 E  79TH                         ST,33.9711,-118.2629
220105900,02/02/2022 12:00:00 AM,01/11/2022 12:00:00 AM,1,1,Central,118,1,310,BURGLARY,0344 1822,0,M,H,121.0,YARD (RESIDENTIAL/BUSINESS),IC,Invest Cont,310.0,1600 N  MAIN                         ST,34.0669,-118.2273
231607599,04/24/2023 12:00:00 AM,04/23/2023 12:00:00 AM,2130,16,Foothill,1612,1,310,BURGLARY,0358 1822 0375 0344,0,M,O,210.0,RESTAURANT/FAST FOOD,IC,Invest Cont,310.0,11500    GLENOAKS                     BL,34.2733,-118.4202
210407922,04/22/2021 12:00:00 AM,04/22/2021 12:00:00 AM,1600,4,Hollenbeck,478,1,440,THEFT PLAIN - PETTY ($950 & UNDER),0344,19,M,H,203.0,OTHER BUSINESS,IC,Invest Cont,440.0,1000 S  FRESNO                       ST,34.0268,-118.2075
210610147,05/23/2021 12:00:00 AM,05/23/2021 12:00:00 AM,300,6,Hollywood,637,1,210,ROBBERY,1822 0400 0416 0344,55,M,H,401.0,MINI-MART,IC,Invest Cont,210.0,6000    HOLLYWOOD                    BL,34.103,-118.3225
231011452,07/17/2023 12:00:00 AM,07/17/2023 12:00:00 AM,1740,10,West Valley,1097,2,626,INTIMATE PARTNER - SIMPLE ASSAULT,1414 2000 0416 0400 0913 1814,50,M,W,501.0,SINGLE FAMILY DWELLING,AO,Adult Other,626.0,4700    WHITE OAK                    AV,34.1413,-118.506
221408477,03/30/2022 12:00:00 AM,03/29/2022 12:00:00 AM,1800,14,Pacific,1412,1,330,BURGLARY FROM VEHICLE,1300 0344,26,M,W,108.0,PARKING LOT,IC,Invest Cont,330.0,800 S  MAIN                         ST,33.9929,-118.4747
241305935,02/12/2024 12:00:00 AM,02/12/2024 12:00:00 AM,250,13,Newton,1364,2,626,INTIMATE PARTNER - SIMPLE ASSAULT,2000 0913 1243 0416 0400 1813,21,F,H,501.0,SINGLE FAMILY DWELLING,IC,Invest Cont,626.0,1100 E  50TH                         ST,33.998,-118.2565
230413976,11/01/2023 12:00:00 AM,11/01/2023 12:00:00 AM,200,4,Hollenbeck,459,2,354,THEFT OF IDENTITY,0100 0922,34,F,H,502.0,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",IC,Invest Cont,354.0,3100    WABASH                       AV,34.0489,-118.1944
221909943,05/25/2022 12:00:00 AM,05/25/2022 12:00:00 AM,1430,19,Mission,1921,1,210,ROBBERY,0344 1313 1817 0913 0447 1304 0443,45,M,H,505.0,MOTEL,IC,Invest Cont,210.0,12800    ENCINITAS                    AV,34.3024,-118.477
240910605,07/30/2024 12:00:00 AM,07/27/2024 12:00:00 AM,1911,9,Van Nuys,904,1,442,SHOPLIFTING - PETTY THEFT ($950 & UNDER),0325,38,M,O,405.0,CLOTHING STORE,IC,Invest Cont,442.0,7900 N  SEPULVEDA                    BL,34.2141,-118.4662
230515115,10/27/2023 12:00:00 AM,10/27/2023 12:00:00 AM,200,5,Harbor,585,1,310,BURGLARY,1607 0344,0,X,X,207.0,BAR/COCKTAIL/NIGHTCLUB,IC,Invest Cont,310.0,2100 S  PACIFIC                      AV,33.7243,-118.2963
231316669,09/03/2023 12:00:00 AM,09/02/2023 12:00:00 AM,1650,13,Newton,1367,2,354,THEFT OF IDENTITY,0922,43,F,B,501.0,SINGLE FAMILY DWELLING,IC,Invest Cont,354.0,4500    LONG BEACH                   AV,34.0028,-118.2431
221018149,12/24/2022 12:00:00 AM,12/24/2022 12:00:00 AM,1930,10,West Valley,1041,2,627,CHILD ABUSE (PHYSICAL) - SIMPLE ASSAULT,0416 0913 1259 0602 0552 0400,15,F,W,501.0,SINGLE FAMILY DWELLING,AA,Adult Arrest,627.0,19100    OXNARD                       ST,34.1802,-118.5491
200816373,11/12/2020 12:00:00 AM,11/12/2020 12:00:00 AM,1800,8,West LA,834,2,624,BATTERY - SIMPLE ASSAULT,0400 0416 1822,55,M,W,102.0,SIDEWALK,IC,Invest Cont,624.0,SANTA MONICA,34.051,-118.4337
240706416,02/27/2024 12:00:00 AM,02/27/2024 12:00:00 AM,100,7,Wilshire,735,1,310,BURGLARY,1300 0330 1606 0314 0344,40,M,W,501.0,SINGLE FAMILY DWELLING,IC,Invest Cont,310.0,600 S  BURNSIDE                     AV,34.0649,-118.3494
230121037,10/02/2023 12:00:00 AM,10/02/2023 12:00:00 AM,630,1,Central,157,1,230,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",2004 0445 1822 2003,31,M,H,101.0,STREET,AA,Adult Arrest,230.0,500    CROCKER                      ST,34.0435,-118.2427
232017899,11/14/2023 12:00:00 AM,11/14/2023 12:00:00 AM,910,20,Olympic,2029,1,230,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",1822 0444 0445 0400 0416 0429 1402 1309 1313 2004,26,M,W,102.0,SIDEWALK,AA,Adult Arrest,230.0,7TH,34.0652,-118.2878
241511058,06/05/2024 12:00:00 AM,06/03/2024 12:00:00 AM,1800,15,N Hollywood,1565,1,331,THEFT FROM MOTOR VEHICLE - GRAND ($950.01 AND OVER),1822 1602 0385 0344,30,M,C,101.0,STREET,IC,Invest Cont,331.0,11100    ACAMA                        ST,34.1493,-118.3759
220620806,12/31/2022 12:00:00 AM,12/31/2022 12:00:00 AM,410,6,Hollywood,622,1,236,INTIMATE PARTNER - AGGRAVATED ASSAULT,0421 1813 1814 2002 0334 2000 0408 0913 1501 2038,49,M,H,502.0,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",AO,Adult Other,236.0,7100    HILLSIDE                     AV,34.1052,-118.3455
242014064,11/27/2024 12:00:00 AM,09/20/2024 12:00:00 AM,1920,20,Olympic,2073,1,341,"THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD",0344 0913 1803,0,X,X,203.0,OTHER BUSINESS,IC,Invest Cont,341.0,2200    CAMBRIDGE                    ST,34.0445,-118.3062
220704433,01/13/2022 12:00:00 AM,01/11/2022 12:00:00 AM,1145,7,Wilshire,732,1,341,"THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD",0344 1822,37,F,W,102.0,SIDEWALK,IC,Invest Cont,341.0,6100    WILSHIRE                     BL,34.0665,-118.3662
231908368,04/21/2023 12:00:00 AM,04/21/2023 12:00:00 AM,1103,19,Mission,1995,2,745,VANDALISM - MISDEAMEANOR ($399 OR UNDER),0329 1300 0913 1814,21,F,H,108.0,PARKING LOT,IC,Invest Cont,745.0,7800    VAN NUYS                     BL,34.2117,-118.4488
242104976,01/25/2024 12:00:00 AM,01/25/2024 12:00:00 AM,411,21,Topanga,2187,1,310,BURGLARY,0344 1609,0,M,W,403.0,DRUG STORE,JA,Juv Arrest,310.0,21200    VENTURA                      BL,34.1673,-118.5946
231511868,07/05/2023 12:00:00 AM,06/29/2023 12:00:00 AM,2000,15,N Hollywood,1548,1,330,BURGLARY FROM VEHICLE,1307 1609 0344 1822,0,F,W,108.0,PARKING LOT,IC,Invest Cont,330.0,5300    LANKERSHIM                   BL,34.167,-118.3759
200507899,04/03/2020 12:00:00 AM,04/03/2020 12:00:00 AM,1200,5,Harbor,585,1,230,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",0913 0361 0445 1309 0202,29,M,B,103.0,ALLEY,AO,Adult Other,230.0,1900 S  GRAND                        AV,33.727,-118.2902
220120392,09/13/2022 12:00:00 AM,09/08/2022 12:00:00 AM,1830,1,Central,182,1,330,BURGLARY FROM VEHICLE,1609 0344 0329 1822,52,M,C,108.0,PARKING LOT,IC,Invest Cont,330.0,9TH                          ST,34.0437,-118.2582
221410513,05/08/2022 12:00:00 AM,05/08/2022 12:00:00 AM,1655,14,Pacific,1495,1,440,THEFT PLAIN - PETTY ($950 & UNDER),1822 0344 1300,32,F,H,101.0,STREET,IC,Invest Cont,440.0,6100 W  94TH                         ST,33.9523,-118.3906
230308160,03/23/2023 12:00:00 AM,03/22/2023 12:00:00 AM,2300,3,Southwest,319,1,420,THEFT FROM MOTOR VEHICLE - PETTY ($950 & UNDER),0344 1202 1300 1606 1822,67,M,H,123.0,PARKING UNDERGROUND/BUILDING,IC,Invest Cont,420.0,700 W  WASHINGTON                   BL,34.0362,-118.276
220109216,03/30/2022 12:00:00 AM,03/30/2022 12:00:00 AM,440,1,Central,153,2,624,BATTERY - SIMPLE ASSAULT,0416 0913 0602 0561,37,F,H,101.0,STREET,IC,Invest Cont,624.0,600 S  BROADWAY,34.0466,-118.252
220208434,04/03/2022 12:00:00 AM,04/02/2022 12:00:00 AM,145,2,Rampart,261,2,354,THEFT OF IDENTITY,0100 0922,24,F,W,502.0,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",IC,Invest Cont,354.0,700 S  CARONDELET                   ST,34.0584,-118.2811
201100532,01/23/2020 12:00:00 AM,01/22/2020 12:00:00 AM,2320,11,Northeast,1124,1,230,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",1822 0906 1100 1402 1407,0,X,X,101.0,STREET,IC,Invest Cont,230.0,3300    DREW                         ST,34.1199,-118.2431
242004607,01/18/2024 12:00:00 AM,01/18/2024 12:00:00 AM,625,20,Olympic,2069,2,624,BATTERY - SIMPLE ASSAULT,0553 0416 0913,22,M,B,502.0,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",AO,Adult Other,624.0,1200    MENLO                        AV,34.049,-118.2907
220810399,06/01/2022 12:00:00 AM,06/01/2022 12:00:00 AM,1852,8,West LA,852,1,442,SHOPLIFTING - PETTY THEFT ($950 & UNDER),0325 0378 1822,0,X,X,404.0,DEPARTMENT STORE,IC,Invest Cont,442.0,11800    SANTA MONICA                 BL,34.0428,-118.4582
201304845,01/15/2020 12:00:00 AM,01/15/2020 12:00:00 AM,550,13,Newton,1354,2,745,VANDALISM - MISDEAMEANOR ($399 OR UNDER),0329 1307,22,M,H,122.0,"VEHICLE, PASSENGER/TRUCK",IC,Invest Cont,745.0,100 E  43RD                         ST,34.0057,-118.274
200119742,10/20/2020 12:00:00 AM,10/20/2020 12:00:00 AM,1550,1,Central,119,1,350,"THEFT, PERSON",1202 1822 0344 0910,61,M,A,834.0,LA UNION STATION (NOT LINE SPECIFIC),IC,Invest Cont,350.0,800 N  ALAMEDA                      ST,34.0561,-118.2375
210911074,06/30/2021 12:00:00 AM,06/29/2021 12:00:00 AM,2130,9,Van Nuys,941,1,331,THEFT FROM MOTOR VEHICLE - GRAND ($950.01 AND OVER),1300 1414 0385 0344,67,F,W,101.0,STREET,IC,Invest Cont,331.0,15100    CALIFA                       ST,34.1775,-118.4629
230816411,11/01/2023 12:00:00 AM,11/01/2023 12:00:00 AM,1530,8,West LA,839,1,442,SHOPLIFTING - PETTY THEFT ($950 & UNDER),0325,0,X,X,404.0,DEPARTMENT STORE,IC,Invest Cont,442.0,10200    SANTA MONICA                 BL,34.0611,-118.4184
230805151,01/27/2023 12:00:00 AM,01/27/2023 12:00:00 AM,1645,8,West LA,859,2,740,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)",0329 0913,58,M,B,122.0,"VEHICLE, PASSENGER/TRUCK",AO,Adult Other,740.0,SHERBOURNE                   AV,34.0495,-118.3805
230810871,06/14/2023 12:00:00 AM,06/11/2023 12:00:00 AM,1800,8,West LA,881,2,664,"BUNCO, PETTY THEFT",0701 0800,36,F,B,502.0,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",IC,Invest Cont,664.0,11900    MISSOURI                     AV,34.0363,-118.4554
210107902,03/24/2021 12:00:00 AM,03/22/2021 12:00:00 AM,830,1,Central,192,2,745,VANDALISM - MISDEAMEANOR ($399 OR UNDER),1822 1414 0329 1307,51,F,B,122.0,"VEHICLE, PASSENGER/TRUCK",IC,Invest Cont,745.0,200 W  PICO                         BL,34.0377,-118.2622
211210493,04/17/2021 12:00:00 AM,04/17/2021 12:00:00 AM,2230,12,77th Street,1257,2,626,INTIMATE PARTNER - SIMPLE ASSAULT,0913 0400 0416 0419 0417 1814 2000 1243,21,F,H,501.0,SINGLE FAMILY DWELLING,IC,Invest Cont,626.0,7600 S  HOOVER                       ST,33.9703,-118.2871
240411649,11/22/2024 12:00:00 AM,11/22/2024 12:00:00 AM,1855,4,Hollenbeck,442,1,442,SHOPLIFTING - PETTY THEFT ($950 & UNDER),0325,25,F,H,301.0,GAS STATION,IC,Invest Cont,442.0,1800    MARENGO                      ST,34.0586,-118.2119
242005968,02/15/2024 12:00:00 AM,02/15/2024 12:00:00 AM,1510,20,Olympic,2099,2,625,OTHER ASSAULT,1822 0400 0356 0917 0443,21,M,H,403.0,DRUG STORE,AO,Adult Other,625.0,1900 S  HOOVER                       ST,34.0385,-118.2878
230315661,08/23/2023 12:00:00 AM,08/21/2023 12:00:00 AM,2330,3,Southwest,392,1,520,VEHICLE - ATTEMPT STOLEN,0342 1822 0216 1300 0329,22,X,X,101.0,STREET,IC,Invest Cont,520.0,4800    3RD                          AV,34.0,-118.3203
201211598,04/26/2020 12:00:00 AM,04/26/2020 12:00:00 AM,924,12,77th Street,1215,1,442,SHOPLIFTING - PETTY THEFT ($950 & UNDER),1822 0216 0344 1309,0,X,X,202.0,LIQUOR STORE,IC,Invest Cont,442.0,1400 W  54TH                         ST,33.9932,-118.3002
211313629,08/02/2021 12:00:00 AM,08/01/2021 12:00:00 AM,2230,13,Newton,1313,2,740,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)",0329,0,X,X,210.0,RESTAURANT/FAST FOOD,IC,Invest Cont,740.0,1900 S  SAN PEDRO                    ST,34.0273,-118.2577
230515508,11/05/2023 12:00:00 AM,11/05/2023 12:00:00 AM,1714,5,Harbor,518,1,442,SHOPLIFTING - PETTY THEFT ($950 & UNDER),0325 0352 1309 0344,0,X,X,121.0,YARD (RESIDENTIAL/BUSINESS),IC,Invest Cont,442.0,200 E  PACIFIC COAST                HY,33.798,-118.2604
230913734,09/04/2023 12:00:00 AM,09/02/2023 12:00:00 AM,830,9,Van Nuys,952,1,310,BURGLARY,0344 0382,40,F,W,502.0,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",IC,Invest Cont,310.0,15300    WEDDINGTON                   ST,34.1667,-118.4662
202006658,02/24/2020 12:00:00 AM,02/24/2020 12:00:00 AM,1600,20,Olympic,2022,1,230,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",0319 0334 0340 0432 1402 1822 2004,41,M,H,502.0,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",AA,Adult Arrest,230.0,400 S  SAINT ANDREWS                PL,34.0672,-118.3116
240513251,12/12/2024 12:00:00 AM,12/08/2024 12:00:00 AM,1715,5,Harbor,585,1,440,THEFT PLAIN - PETTY ($950 & UNDER),1822 0329,37,M,H,101.0,STREET,IC,Invest Cont,440.0,2000 S  ALMA                         ST,33.7261,-118.299
220806172,02/23/2022 12:00:00 AM,02/23/2022 12:00:00 AM,20,8,West LA,831,1,310,BURGLARY,1822 1607 0344,32,F,O,707.0,GARAGE/CARPORT,IC,Invest Cont,310.0,1100    WELLESLEY                    AV,34.0442,-118.471
210110257,05/13/2021 12:00:00 AM,05/07/2021 12:00:00 AM,1200,1,Central,138,2,670,"EMBEZZLEMENT, PETTY THEFT ($950 & UNDER)",0344 0913 1202 1818,65,M,B,502.0,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",AO,Adult Other,670.0,200    BOYD                         ST,34.0476,-118.2449
211912814,09/02/2021 12:00:00 AM,08/20/2021 12:00:00 AM,2000,19,Mission,1925,1,331,THEFT FROM MOTOR VEHICLE - GRAND ($950.01 AND OVER),0385,42,F,H,101.0,STREET,IC,Invest Cont,331.0,14500    DYER                         ST,34.3003,-118.448
211514532,09/11/2021 12:00:00 AM,09/11/2021 12:00:00 AM,1400,15,N Hollywood,1548,2,624,BATTERY - SIMPLE ASSAULT,0416 0446 0400,41,F,W,716.0,THEATRE/MOVIE,IC,Invest Cont,624.0,5200    LANKERSHIM                   BL,34.1649,-118.3746
230116720,07/25/2023 12:00:00 AM,07/24/2023 12:00:00 AM,2150,1,Central,139,1,330,BURGLARY FROM VEHICLE,1609 1300 0329 0344 1307,40,M,O,213.0,WAREHOUSE,IC,Invest Cont,330.0,200 S  GAREY                        ST,34.0472,-118.2352
230817252,11/21/2023 12:00:00 AM,11/21/2023 12:00:00 AM,1545,8,West LA,802,1,330,BURGLARY FROM VEHICLE,0358 0344 0346 1612,52,F,H,101.0,STREET,IC,Invest Cont,330.0,WILL ROGERS STATE PARK,34.0506,-118.5131
221007237,03/27/2022 12:00:00 AM,03/27/2022 12:00:00 AM,1410,10,West Valley,1008,2,930,CRIMINAL THREATS - NO WEAPON DISPLAYED,0906 2004 0421 0913 0918,48,F,H,210.0,RESTAURANT/FAST FOOD,AO,Adult Other,930.0,16400    VANOWEN                      ST,34.1939,-118.4902
230617469,11/06/2023 12:00:00 AM,10/12/2023 12:00:00 AM,1100,6,Hollywood,647,1,320,"BURGLARY, ATTEMPTED",1822 0329,32,F,W,502.0,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",IC,Invest Cont,320.0,6200    HOLLYWOOD                    BL,34.1016,-118.3246
231911648,07/15/2023 12:00:00 AM,07/14/2023 12:00:00 AM,2000,19,Mission,1934,2,900,VIOLATION OF COURT ORDER,2038,52,F,H,501.0,SINGLE FAMILY DWELLING,AO,Adult Other,900.0,11100 N  SEPULVEDA                    BL,34.2747,-118.4696
201116848,12/22/2020 12:00:00 AM,12/14/2020 12:00:00 AM,1300,11,Northeast,1115,1,341,"THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD",0344 2021,75,M,W,501.0,SINGLE FAMILY DWELLING,IC,Invest Cont,341.0,4900    HIGHLAND VIEW                AV,34.134,-118.209
240408806,07/12/2024 12:00:00 AM,06/30/2024 12:00:00 AM,1430,4,Hollenbeck,415,2,740,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)",0329,0,X,X,109.0,PARK/PLAYGROUND,IC,Invest Cont,740.0,3100    MINNESOTA                    ST,34.0776,-118.2088
210610154,05/23/2021 12:00:00 AM,05/22/2021 12:00:00 AM,1945,6,Hollywood,643,1,440,THEFT PLAIN - PETTY ($950 & UNDER),1822 0344,0,X,X,502.0,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",IC,Invest Cont,440.0,1600 N  MARTEL                       AV,34.0998,-118.3502
221224681,12/06/2022 12:00:00 AM,12/06/2022 12:00:00 AM,900,12,77th Street,1233,1,440,THEFT PLAIN - PETTY ($950 & UNDER),1817 0913 0344,53,M,H,518.0,TRANSITIONAL HOUSING/HALFWAY HOUSE,AO,Adult Other,440.0,6000 S  WESTERN                      AV,33.9859,-118.309
221213296,06/07/2022 12:00:00 AM,06/07/2022 12:00:00 AM,1345,12,77th Street,1249,2,624,BATTERY - SIMPLE ASSAULT,1822 0416 0446 0305 2004,62,F,H,101.0,STREET,IC,Invest Cont,624.0,FLORENCE                     AV,33.9747,-118.2827
230810962,06/17/2023 12:00:00 AM,06/16/2023 12:00:00 AM,2115,8,West LA,839,1,343,SHOPLIFTING-GRAND THEFT ($950.01 & OVER),0344 0325 1822,0,M,O,203.0,OTHER BUSINESS,IC,Invest Cont,343.0,10200    SANTA MONICA                 BL,34.0611,-118.4184
201518066,11/27/2020 12:00:00 AM,11/25/2020 12:00:00 AM,1100,15,N Hollywood,1526,1,420,THEFT FROM MOTOR VEHICLE - PETTY ($950 & UNDER),0344,42,F,H,101.0,STREET,IC,Invest Cont,420.0,6200    BECK                         AV,34.183,-118.3834
241709330,05/09/2024 12:00:00 AM,05/09/2024 12:00:00 AM,725,17,Devonshire,1781,2,888,TRESPASSING,1300,0,X,X,502.0,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",IC,Invest Cont,888.0,8700    DE SOTO                      AV,34.2286,-118.5885
241110523,09/08/2024 12:00:00 AM,09/06/2024 12:00:00 AM,2200,11,Northeast,1173,1,330,BURGLARY FROM VEHICLE,0344 1302 1307,39,M,H,101.0,STREET,IC,Invest Cont,330.0,ALVARADO                     ST,34.095,-118.2531
200914118,08/29/2020 12:00:00 AM,08/29/2020 12:00:00 AM,815,9,Van Nuys,923,2,740,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)",0329 2004,36,F,H,203.0,OTHER BUSINESS,IC,Invest Cont,740.0,6500    VAN NUYS                     BL,34.1903,-118.4574
221704653,01/11/2022 12:00:00 AM,01/11/2022 12:00:00 AM,810,17,Devonshire,1723,2,624,BATTERY - SIMPLE ASSAULT,0429 1300 1822 0416 1202,66,M,W,101.0,STREET,AO,Adult Other,624.0,10600    VARIEL                       AV,34.2627,-118.5929
220410774,07/11/2022 12:00:00 AM,07/11/2022 12:00:00 AM,2330,4,Hollenbeck,429,2,624,BATTERY - SIMPLE ASSAULT,0400 0446,30,M,H,102.0,SIDEWALK,AA,Adult Arrest,624.0,5300 E  HUNTINGTON DR,34.0899,-118.1664
200914479,09/09/2020 12:00:00 AM,09/08/2020 12:00:00 AM,2115,9,Van Nuys,943,1,442,SHOPLIFTING - PETTY THEFT ($950 & UNDER),0344 0325,0,X,X,402.0,MARKET,IC,Invest Cont,442.0,14400    BURBANK                      BL,34.1721,-118.447
230412864,09/27/2023 12:00:00 AM,09/26/2023 12:00:00 AM,1500,4,Hollenbeck,464,1,331,THEFT FROM MOTOR VEHICLE - GRAND ($950.01 AND OVER),1300 0344 1302,40,M,W,503.0,HOTEL,IC,Invest Cont,331.0,1ST                          ST,34.0438,-118.2098
201421227,12/05/2020 12:00:00 AM,12/05/2020 12:00:00 AM,130,14,Pacific,1441,1,310,BURGLARY,1609 0344 0314,46,M,O,501.0,SINGLE FAMILY DWELLING,AA,Adult Arrest,310.0,2300    OCEAN FRONT                  WK,33.9837,-118.4709
202110417,06/12/2020 12:00:00 AM,06/12/2020 12:00:00 AM,1015,21,Topanga,2134,1,442,SHOPLIFTING - PETTY THEFT ($950 & UNDER),1420 0325,35,M,X,402.0,MARKET,IC,Invest Cont,442.0,22300    SHERMAN                      WY,34.201,-118.6129
